"","treeID","xmin","xmax","ymin","ymax","Algorithm","lidar_path","rgb_path","label","numeric_label","tile_xmin","tile_xmax","tile_ymin","tile_ymax"
"1",1,262024.676,262030.47,4107997.623,4107998.996,"Silva","NEON_D17_SJER_DP1_262000_4107000_classified_point_cloud_colorized.laz","2018_SJER_3_262000_4107000_image.tif","Tree",1,262000,262701.18,4107000,4107999.999
"2",2,262036.57,262042.253,4107997.046,4107998.997,"Silva","NEON_D17_SJER_DP1_262000_4107000_classified_point_cloud_colorized.laz","2018_SJER_3_262000_4107000_image.tif","Tree",1,262000,262701.18,4107000,4107999.999
"3",3,262056.144,262061.892,4107997.625,4107998.998,"Silva","NEON_D17_SJER_DP1_262000_4107000_classified_point_cloud_colorized.laz","2018_SJER_3_262000_4107000_image.tif","Tree",1,262000,262701.18,4107000,4107999.999
"4",4,262270.615,262273.832,4107998.029,4107998.977,"Silva","NEON_D17_SJER_DP1_262000_4107000_classified_point_cloud_colorized.laz","2018_SJER_3_262000_4107000_image.tif","Tree",1,262000,262701.18,4107000,4107999.999
"5",5,262274.005,262279.491,4107997.54,4107998.993,"Silva","NEON_D17_SJER_DP1_262000_4107000_classified_point_cloud_colorized.laz","2018_SJER_3_262000_4107000_image.tif","Tree",1,262000,262701.18,4107000,4107999.999
"6",6,262323.231,262327.627,4107997.032,4107998.997,"Silva","NEON_D17_SJER_DP1_262000_4107000_classified_point_cloud_colorized.laz","2018_SJER_3_262000_4107000_image.tif","Tree",1,262000,262701.18,4107000,4107999.999
"7",7,262385.571,262389.976,4107996.533,4107998.98,"Silva","NEON_D17_SJER_DP1_262000_4107000_classified_point_cloud_colorized.laz","2018_SJER_3_262000_4107000_image.tif","Tree",1,262000,262701.18,4107000,4107999.999
"8",8,262391.815,262395.369,4107995.509,4107998.995,"Silva","NEON_D17_SJER_DP1_262000_4107000_classified_point_cloud_colorized.laz","2018_SJER_3_262000_4107000_image.tif","Tree",1,262000,262701.18,4107000,4107999.999
"9",9,262425.291,262432.724,4107996.063,4107998.974,"Silva","NEON_D17_SJER_DP1_262000_4107000_classified_point_cloud_colorized.laz","2018_SJER_3_262000_4107000_image.tif","Tree",1,262000,262701.18,4107000,4107999.999
"10",10,262556.581,262560.458,4107993.654,4107998.993,"Silva","NEON_D17_SJER_DP1_262000_4107000_classified_point_cloud_colorized.laz","2018_SJER_3_262000_4107000_image.tif","Tree",1,262000,262701.18,4107000,4107999.999
